"","source","target","date_followed","year","month","day"
"330",67626,125399,"2008-06-16 17:19:58","2008","06","16"
"331",67626,63259,"2008-06-16 17:20:11","2008","06","16"
"332",113758,106355,"2008-06-16 17:22:01","2008","06","16"
"333",86980,32452,"2008-06-16 17:26:02","2008","06","16"
"334",83960,124269,"2008-06-16 17:27:27","2008","06","16"
"335",80527,102632,"2008-06-16 17:28:27","2008","06","16"
"336",99327,85448,"2008-06-16 17:30:50","2008","06","16"
"337",124407,126362,"2008-06-16 17:32:21","2008","06","16"
"338",72275,112361,"2008-06-16 17:32:52","2008","06","16"
"339",83960,6665,"2008-06-16 17:34:52","2008","06","16"
"340",112361,72275,"2008-06-16 17:35:06","2008","06","16"
"341",72275,103258,"2008-06-16 17:35:31","2008","06","16"
"342",72275,108877,"2008-06-16 17:36:43","2008","06","16"
"343",86980,124670,"2008-06-16 17:37:17","2008","06","16"
"344",126615,116264,"2008-06-16 17:40:40","2008","06","16"
"345",83960,27677,"2008-06-16 17:42:23","2008","06","16"
"346",83960,120738,"2008-06-16 17:46:47","2008","06","16"
"347",83960,114783,"2008-06-16 17:46:53","2008","06","16"
"348",72275,120738,"2008-06-16 17:47:34","2008","06","16"
"349",89986,39126,"2008-06-16 17:47:42","2008","06","16"
"350",78963,50363,"2008-06-16 17:48:31","2008","06","16"
"351",109290,19987,"2008-06-16 17:48:39","2008","06","16"
"352",89986,21552,"2008-06-16 17:49:19","2008","06","16"
"353",40343,44215,"2008-06-16 17:49:29","2008","06","16"
"354",89986,34908,"2008-06-16 17:49:48","2008","06","16"
"355",89986,49156,"2008-06-16 17:50:45","2008","06","16"
"356",89986,47951,"2008-06-16 17:51:26","2008","06","16"
"357",89986,77320,"2008-06-16 17:52:32","2008","06","16"
"358",75299,58055,"2008-06-16 17:52:43","2008","06","16"
"359",89986,44940,"2008-06-16 17:53:39","2008","06","16"
"360",58055,75299,"2008-06-16 17:54:05","2008","06","16"
"361",89986,67298,"2008-06-16 17:54:16","2008","06","16"
"362",69917,116317,"2008-06-16 17:54:29","2008","06","16"
"363",89986,78088,"2008-06-16 17:54:45","2008","06","16"
"364",89986,23403,"2008-06-16 17:55:05","2008","06","16"
"365",106818,30464,"2008-06-16 17:55:05","2008","06","16"
"366",83960,101678,"2008-06-16 17:57:18","2008","06","16"
"367",89986,60594,"2008-06-16 17:57:31","2008","06","16"
"368",93539,169,"2008-06-16 17:58:00","2008","06","16"
"369",109290,19324,"2008-06-16 17:58:10","2008","06","16"
"370",89986,34252,"2008-06-16 17:58:20","2008","06","16"
"371",89986,52630,"2008-06-16 18:01:15","2008","06","16"
"372",89986,27208,"2008-06-16 18:01:22","2008","06","16"
"373",101678,83960,"2008-06-16 18:01:24","2008","06","16"
"374",113369,124164,"2008-06-16 18:07:57","2008","06","16"
"375",113369,97750,"2008-06-16 18:08:02","2008","06","16"
"376",113369,84815,"2008-06-16 18:08:06","2008","06","16"
"377",113369,113286,"2008-06-16 18:08:11","2008","06","16"
"378",113369,78204,"2008-06-16 18:08:17","2008","06","16"
"379",113369,112354,"2008-06-16 18:08:23","2008","06","16"
"380",113369,52804,"2008-06-16 18:08:36","2008","06","16"
"381",113369,117143,"2008-06-16 18:08:40","2008","06","16"
"382",113369,70023,"2008-06-16 18:08:44","2008","06","16"
"383",113369,124607,"2008-06-16 18:08:49","2008","06","16"
"384",113369,48072,"2008-06-16 18:08:53","2008","06","16"
"385",113369,36591,"2008-06-16 18:09:01","2008","06","16"
"386",113369,40140,"2008-06-16 18:09:13","2008","06","16"
"387",113369,39391,"2008-06-16 18:09:20","2008","06","16"
"388",113369,32374,"2008-06-16 18:09:25","2008","06","16"
"389",113369,29919,"2008-06-16 18:09:31","2008","06","16"
"390",113369,59935,"2008-06-16 18:09:35","2008","06","16"
"391",79128,61883,"2008-06-16 18:15:09","2008","06","16"
"392",113758,18583,"2008-06-16 18:17:09","2008","06","16"
"393",89986,33521,"2008-06-16 18:17:35","2008","06","16"
"394",89986,124164,"2008-06-16 18:17:41","2008","06","16"
"395",106355,113758,"2008-06-16 18:18:03","2008","06","16"
"396",89986,54779,"2008-06-16 18:18:05","2008","06","16"
"397",89986,70767,"2008-06-16 18:18:22","2008","06","16"
"398",89986,91112,"2008-06-16 18:18:30","2008","06","16"
"399",18583,113758,"2008-06-16 18:18:30","2008","06","16"
"400",108812,126621,"2008-06-16 18:21:49","2008","06","16"
"401",72275,126622,"2008-06-16 18:26:13","2008","06","16"
"402",126621,34119,"2008-06-16 18:29:19","2008","06","16"
"403",115321,125774,"2008-06-16 18:30:27","2008","06","16"
"404",72275,95063,"2008-06-16 18:31:29","2008","06","16"
"405",112361,46855,"2008-06-16 18:32:56","2008","06","16"
"406",126325,18757,"2008-06-16 18:39:01","2008","06","16"
"407",126325,49156,"2008-06-16 18:39:51","2008","06","16"
"408",126325,122903,"2008-06-16 18:39:58","2008","06","16"
"409",95063,109532,"2008-06-16 18:40:55","2008","06","16"
"410",95063,125113,"2008-06-16 18:41:21","2008","06","16"
"411",109290,16791,"2008-06-16 18:41:29","2008","06","16"
"412",98352,106616,"2008-06-16 18:41:34","2008","06","16"
"413",72275,126632,"2008-06-16 18:43:55","2008","06","16"
"414",126325,87085,"2008-06-16 18:44:18","2008","06","16"
"415",126325,126632,"2008-06-16 18:44:48","2008","06","16"
"416",112361,72570,"2008-06-16 18:45:00","2008","06","16"
"417",86533,86728,"2008-06-16 18:45:16","2008","06","16"
"418",72275,61739,"2008-06-16 18:45:52","2008","06","16"
"419",72275,33514,"2008-06-16 18:48:22","2008","06","16"
"420",78204,113369,"2008-06-16 18:49:53","2008","06","16"
"421",121558,124441,"2008-06-16 18:50:20","2008","06","16"
"422",83960,42111,"2008-06-16 18:52:00","2008","06","16"
"423",83960,64711,"2008-06-16 18:53:22","2008","06","16"
"424",66448,32995,"2008-06-16 18:55:34","2008","06","16"
"425",98352,76227,"2008-06-16 19:01:51","2008","06","16"
"426",66448,48576,"2008-06-16 19:04:13","2008","06","16"
"427",72275,124702,"2008-06-16 19:04:32","2008","06","16"
"428",126641,125928,"2008-06-16 19:05:40","2008","06","16"
"429",37363,32995,"2008-06-16 19:05:46","2008","06","16"
"430",18757,87003,"2008-06-16 19:10:45","2008","06","16"
"431",72275,64647,"2008-06-16 19:10:57","2008","06","16"
"432",64647,72275,"2008-06-16 19:11:44","2008","06","16"
"433",72275,85723,"2008-06-16 19:12:18","2008","06","16"
"434",66448,33237,"2008-06-16 19:12:24","2008","06","16"
"435",124013,120604,"2008-06-16 19:12:25","2008","06","16"
"436",126095,122903,"2008-06-16 19:13:15","2008","06","16"
"437",287878,19349,"2009-06-30 20:03:56","2009","06","30"
"438",287878,76185,"2009-06-30 20:04:12","2009","06","30"
"439",287878,128458,"2009-06-30 20:04:16","2009","06","30"
"440",287878,34908,"2009-06-30 20:04:28","2009","06","30"
"441",287878,230640,"2009-06-30 20:04:39","2009","06","30"
"442",287878,68037,"2009-06-30 20:04:55","2009","06","30"
"443",287878,43746,"2009-06-30 20:05:03","2009","06","30"
"444",287878,114373,"2009-06-30 20:05:11","2009","06","30"
"445",287878,73237,"2009-06-30 20:05:25","2009","06","30"
"446",287878,189,"2009-06-30 20:05:33","2009","06","30"
"447",302912,272878,"2009-06-30 20:05:57","2009","06","30"
"448",287878,252057,"2009-06-30 20:09:11","2009","06","30"
"449",287878,130068,"2009-06-30 20:09:23","2009","06","30"
"450",287878,210849,"2009-06-30 20:09:33","2009","06","30"
"451",287878,193851,"2009-06-30 20:09:55","2009","06","30"
"452",287878,147278,"2009-06-30 20:10:50","2009","06","30"
"453",287878,44795,"2009-06-30 20:11:06","2009","06","30"
"454",287878,142,"2009-06-30 20:11:43","2009","06","30"
"455",287878,12446,"2009-06-30 20:11:50","2009","06","30"
"456",218306,157129,"2009-06-30 20:14:15","2009","06","30"
"457",136261,269028,"2009-06-30 20:16:46","2009","06","30"
"458",304849,60945,"2009-06-30 20:18:30","2009","06","30"
"459",268330,150311,"2009-06-30 20:21:36","2009","06","30"
"460",251289,318759,"2009-06-30 20:42:08","2009","06","30"
"461",208768,186240,"2009-06-30 20:50:47","2009","06","30"
"462",83960,306857,"2009-06-30 20:54:16","2009","06","30"
"463",147085,264903,"2009-06-30 20:55:33","2009","06","30"
"464",49881,180386,"2009-06-30 20:56:15","2009","06","30"
"465",321845,7925,"2009-06-30 20:58:57","2009","06","30"
"466",147085,321721,"2009-06-30 20:59:40","2009","06","30"
"467",321859,133284,"2009-06-30 21:02:00","2009","06","30"
"468",243624,311695,"2009-06-30 21:02:01","2009","06","30"
