source,target,date_followed
208768,186240,2009-06-30 20:50:47
83960,306857,2009-06-30 20:54:16
147085,264903,2009-06-30 20:55:33
49881,180386,2009-06-30 20:56:15
321845,7925,2009-06-30 20:58:57
147085,321721,2009-06-30 20:59:40
321859,133284,2009-06-30 21:02:00
243624,311695,2009-06-30 21:02:01
300203,317917,2009-06-30 21:02:11
321462,88542,2009-06-30 21:02:53
311620,306435,2009-06-30 21:02:56
321803,321861,2009-06-30 21:08:54
321861,321803,2009-06-30 21:11:52
240838,286929,2009-06-30 21:14:57
240838,304901,2009-06-30 21:15:12
320370,193971,2009-06-30 21:23:59
321337,269922,2009-06-30 21:30:17
299600,111646,2009-06-30 21:36:00
299600,296669,2009-06-30 21:36:06
299600,136261,2009-06-30 21:36:24
299600,269028,2009-06-30 21:36:45
299600,215704,2009-06-30 21:36:59
299600,266493,2009-06-30 21:37:04
299600,7930,2009-06-30 21:37:13
204547,308676,2009-06-30 21:39:06
272535,56460,2009-06-30 21:43:29
299600,270468,2009-06-30 21:45:37
140495,17440,2009-06-30 21:45:47
306435,129473,2009-06-30 21:47:47
306435,246994,2009-06-30 21:48:57
162985,313357,2009-06-30 21:49:37
308667,214633,2009-06-30 21:51:18
321890,298670,2009-06-30 21:57:14
321891,302939,2009-06-30 21:57:35
151403,12888,2009-06-30 21:57:53
151403,198123,2009-06-30 21:58:38
321853,137081,2009-06-30 22:02:26
321853,128820,2009-06-30 22:03:12
106382,51279,2009-06-30 22:03:28
267632,51279,2009-06-30 22:03:54
321853,35025,2009-06-30 22:04:43
302939,321891,2009-06-30 22:04:46
321853,254476,2009-06-30 22:04:53
321853,126816,2009-06-30 22:05:01
223958,292425,2009-06-30 22:05:04
3,200690,2010-04-01 15:29:39
471708,308351,2010-04-01 15:31:46
471708,102679,2010-04-01 15:32:33
467744,293066,2010-04-01 15:33:54
478998,398052,2010-04-01 15:36:41
471879,446891,2010-04-01 15:36:43
372879,338467,2010-04-01 15:38:00
150495,49156,2010-04-01 15:42:03
160590,478538,2010-04-01 15:43:05
476307,478797,2010-04-01 15:43:21
476307,478846,2010-04-01 15:43:54
476307,478856,2010-04-01 15:44:36
348497,436886,2010-04-01 15:47:08
446200,446168,2010-04-01 15:50:30
479845,16529,2010-04-01 15:51:37
476314,354388,2010-04-01 15:55:35
476306,354388,2010-04-01 15:56:58
481454,473614,2010-04-01 15:58:40
454482,104522,2010-04-01 15:59:16
453676,104522,2010-04-01 15:59:16
481454,452857,2010-04-01 15:59:37
481454,480609,2010-04-01 16:00:35
452857,481454,2010-04-01 16:01:03
473614,480609,2010-04-01 16:01:24
481462,480606,2010-04-01 16:01:59
481454,481462,2010-04-01 16:02:24
481462,480609,2010-04-01 16:02:35
473614,481462,2010-04-01 16:02:55
480609,481462,2010-04-01 16:03:09
480609,412248,2010-04-01 16:04:26
480609,473614,2010-04-01 16:04:39
480609,452857,2010-04-01 16:04:50
481462,473614,2010-04-01 16:06:19
368610,481449,2010-04-01 16:06:31
198394,481456,2010-04-01 16:07:20
453676,450578,2010-04-01 16:07:31
473614,286215,2010-04-01 16:07:52
466812,45102,2010-04-01 16:08:05
